REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
"Region1","S1D1B1","IND_FOOD_COA_001",1,2026,311.162569410302
"Region1","S1D1B1","IND_FOOD_COA_001",1,2028,344.220794600193
"Region1","S1D1B1","IND_FOOD_COA_001",1,2032,379.148297054071
"Region1","S1D1B1","IND_FOOD_COA_001",1,2033,398.780567271597
"Region1","S1D1B1","IND_FOOD_COA_001",1,2034,506.197041389139
"Region1","S1D1B1","IND_FOOD_COA_001",1,2035,1033.27615551555
"Region1","S1D1B1","IND_FOOD_DSL_001",1,2018,90.1437688074803
"Region1","S1D1B1","IND_FOOD_DSL_001",1,2019,91.116042984298
"Region1","S1D1B1","IND_FOOD_DSL_001",1,2020,104.929848740909
"Region1","S1D1B1","IND_FOOD_DSL_001",1,2021,62.0977299709889
"Region1","S1D1B1","IND_FOOD_DSL_001",1,2022,6.1184602294919
"Region1","S1D1B1","IND_FOOD_DSL_001",1,2023,172.083089772835
"Region1","S1D1B1","IND_FOOD_DSL_001",1,2025,223.724368740036
"Region1","S1D1B1","IND_FOOD_DSL_001",1,2026,104.830839319733
"Region1","S1D1B1","IND_FOOD_DSL_001",1,2031,365.697042730096
"Region1","S1D1B1","IND_FOOD_DSL_001",1,2033,453.213244604063
"Region1","S1D1B1","IND_FOOD_ELC_001",1,2018,13.5268053749085
"Region1","S1D1B1","IND_FOOD_ELC_001",1,2019,2.5467806364936
"Region1","S1D1B1","IND_FOOD_ELC_001",1,2020,82.2593332985757
"Region1","S1D1B1","IND_FOOD_ELC_001",1,2021,87.2449747493853
"Region1","S1D1B1","IND_FOOD_ELC_001",1,2022,129.344326134352
"Region1","S1D1B1","IND_FOOD_ELC_001",1,2023,115.247022716706
"Region1","S1D1B1","IND_FOOD_ELC_001",1,2025,176.87152317374
"Region1","S1D1B1","IND_FOOD_ELC_001",1,2026,178.130711461146
"Region1","S1D1B1","IND_FOOD_ELC_001",1,2027,187.354306180618
"Region1","S1D1B1","IND_FOOD_ELC_001",1,2028,197.05549789979
"Region1","S1D1B1","IND_FOOD_ELC_001",1,2029,174.435596670642
"Region1","S1D1B1","IND_FOOD_ELC_001",1,2030,217.990872727273
"Region1","S1D1B1","IND_FOOD_ELC_001",1,2035,535.224156845598
"Region1","S1D1B1","IND_FOOD_NGS_001",1,2018,62.3360928899938
"Region1","S1D1B1","IND_FOOD_NGS_001",1,2020,31.9839833434126
"Region1","S1D1B1","IND_FOOD_NGS_001",1,2021,98.3186116230601
"Region1","S1D1B1","IND_FOOD_NGS_001",1,2022,98.3186116230601
"Region1","S1D1B1","IND_FOOD_NGS_001",1,2024,98.3186116230601
"Region1","S1D1B1","IND_FOOD_NGS_001",1,2025,101.380280910517
"Region1","S1D1B1","IND_FOOD_NGS_001",1,2027,118.501598649865
"Region1","S1D1B1","IND_FOOD_NGS_001",1,2028,49.7144259539469
"Region1","S1D1B1","IND_FOOD_NGS_001",1,2030,195.055799490662
"Region1","S1D1B1","IND_OTH_BIO",1,2018,116.347734711471
"Region1","S1D1B1","IND_OTH_BIO",1,2019,122.52929590359
"Region1","S1D1B1","IND_OTH_BIO",1,2020,129.039284024402
"Region1","S1D1B1","IND_OTH_BIO",1,2021,135.895147947795
"Region1","S1D1B1","IND_OTH_BIO",1,2022,143.115264423443
"Region1","S1D1B1","IND_OTH_BIO",1,2024,197.278833027968
"Region1","S1D1B1","IND_OTH_BIO",1,2025,167.159851175118
"Region1","S1D1B1","IND_OTH_BIO",1,2026,218.798581679304
"Region1","S1D1B1","IND_OTH_BIO",1,2027,230.423362187694
"Region1","S1D1B1","IND_OTH_BIO",1,2028,195.244134627462
"Region1","S1D1B1","IND_OTH_BIO",1,2029,255.558612922313
"Region1","S1D1B1","IND_OTH_BIO",1,2030,269.13645490491
"Region1","S1D1B1","IND_OTH_BIO",1,2031,228.046816448645
"Region1","S1D1B1","IND_OTH_BIO",1,2032,240.162955886588
"Region1","S1D1B1","IND_OTH_BIO",1,2033,252.922826448645
"Region1","S1D1B1","IND_OTH_BIO",1,2034,331.055306241144
